"STEPHENS" "ECR" "ECR-ITERATIVE-1"
"z.1150" 2 2 2
"z.1151" 2 2 2
"z.1152" 2 2 2
"z.1153" 2 2 2
"z.1154" 2 2 2
"z.1155" 2 2 2
"z.1156" 2 2 2
"z.1157" 2 2 2
"z.1158" 2 2 2
"z.1159" 2 2 2
"z.1160" 1 1 1
"z.1161" 3 3 3
"z.1162" 3 3 3
"z.1163" 2 2 2
"z.1164" 3 3 3
"z.1165" 2 2 2
"z.1166" 2 2 2
"z.1167" 2 2 2
"z.1168" 2 2 2
"z.1169" 2 2 2
"z.1170" 2 2 2
"z.1171" 1 1 1
"z.1172" 2 2 2
"z.1173" 2 2 2
"z.1174" 3 3 3
"z.1175" 2 2 2
"z.1176" 2 2 2
"z.1177" 3 3 3
"z.1178" 1 1 1
"z.1179" 3 3 3
"z.1180" 2 2 2
"z.1181" 2 2 2
"z.1182" 2 2 2
"z.1183" 2 2 2
"z.1184" 1 1 1
"z.1185" 2 2 2
"z.1186" 2 2 2
"z.1187" 2 2 2
"z.1188" 1 1 1
"z.1189" 2 2 2
"z.1190" 2 2 2
"z.1191" 2 2 2
"z.1192" 2 2 2
"z.1193" 2 2 2
"z.1194" 2 2 2
"z.1195" 1 1 1
"z.1196" 2 2 2
"z.1197" 3 3 3
"z.1198" 2 2 2
"z.1199" 2 2 2
"z.1200" 2 2 2
"z.1201" 2 2 2
"z.1202" 2 2 2
"z.1203" 2 2 2
"z.1204" 2 2 2
"z.1205" 2 2 2
"z.1206" 2 2 2
"z.1207" 2 2 2
"z.1208" 1 1 1
"z.1209" 2 2 2
"z.1210" 2 2 2
"z.1211" 1 1 1
"z.1212" 2 2 2
"z.1213" 2 2 2
"z.1214" 3 3 3
"z.1215" 1 1 1
"z.1216" 2 2 2
"z.1217" 1 1 1
"z.1218" 2 2 2
"z.1219" 2 2 2
"z.1220" 2 2 2
"z.1221" 3 3 3
"z.1222" 2 2 2
"z.1223" 2 2 2
"z.1224" 3 3 3
"z.1225" 3 3 3
"z.1226" 2 2 2
"z.1227" 2 2 2
"z.1228" 2 2 2
"z.1229" 3 3 3
"z.1230" 2 2 2
"z.1231" 2 2 2
"z.1232" 2 2 2
"z.1233" 2 2 2
"z.1234" 3 3 3
"z.1235" 2 2 2
"z.1236" 1 1 1
"z.1237" 3 3 3
"z.1238" 3 3 3
"z.1239" 2 2 2
"z.1240" 3 3 3
"z.1241" 1 1 1
"z.1242" 2 2 2
"z.1243" 2 2 2
"z.1244" 3 3 3
"z.1245" 2 2 2
"z.1246" 2 2 2
"z.1247" 1 1 1
"z.1248" 2 2 2
"z.1249" 2 2 2
"z.1250" 2 2 2
"z.1251" 2 2 2
"z.1252" 2 2 2
"z.1253" 2 2 2
"z.1254" 2 2 2
"z.1255" 2 2 2
"z.1256" 2 2 2
"z.1257" 2 2 2
"z.1258" 3 3 3
"z.1259" 3 3 3
"z.1260" 2 2 2
"z.1261" 1 1 1
"z.1262" 2 2 2
"z.1263" 2 2 2
"z.1264" 1 1 1
"z.1265" 3 3 3
"z.1266" 1 1 1
"z.1267" 2 2 2
"z.1268" 1 1 1
"z.1269" 1 1 1
"z.1270" 2 2 2
"z.1271" 2 2 2
"z.1272" 2 2 2
"z.1273" 1 1 1
"z.1274" 2 2 2
"z.1275" 2 2 2
"z.1276" 3 3 3
"z.1277" 2 2 2
"z.1278" 2 2 2
"z.1279" 2 2 2
"z.1280" 2 2 2
"z.1281" 1 1 1
"z.1282" 2 2 2
"z.1283" 2 2 2
"z.1284" 2 2 2
"z.1285" 1 1 1
"z.1286" 2 2 2
"z.1287" 3 3 3
"z.1288" 2 2 2
"z.1289" 2 2 2
"z.1290" 2 2 2
"z.1291" 2 2 2
"z.1292" 2 2 2
"z.1293" 1 1 1
"z.1294" 2 2 2
"z.1295" 2 2 2
"z.1296" 2 2 2
"z.1297" 2 2 2
"z.1298" 2 2 2
"z.1299" 3 3 3
"z.1300" 2 2 2
"z.1301" 2 2 2
"z.1302" 2 2 2
"z.1303" 2 2 2
"z.1304" 2 2 2
"z.1305" 2 2 2
"z.1306" 2 2 2
"z.1307" 2 2 2
"z.1308" 2 2 2
"z.1309" 2 2 2
"z.1310" 2 2 2
"z.1311" 2 2 2
"z.1312" 2 2 2
"z.1313" 2 2 2
"z.1314" 2 2 2
"z.1315" 3 3 3
"z.1316" 2 2 2
"z.1317" 2 2 2
"z.1318" 3 3 3
"z.1319" 1 1 1
"z.1320" 1 1 1
"z.1321" 3 3 3
"z.1322" 3 3 3
"z.1323" 2 2 2
"z.1324" 1 1 1
"z.1325" 1 1 1
"z.1326" 2 2 2
"z.1327" 3 3 3
"z.1328" 1 1 1
"z.1329" 2 2 2
"z.1330" 3 3 3
"z.1331" 2 2 2
"z.1332" 1 1 1
"z.1333" 2 2 2
"z.1334" 2 2 2
"z.1335" 2 2 2
"z.1336" 2 2 2
"z.1337" 2 2 2
"z.1338" 3 3 3
"z.1339" 1 1 1
"z.1340" 3 3 3
"z.1341" 1 1 1
"z.1342" 2 2 2
"z.1343" 2 2 2
"z.1344" 1 1 1
"z.1345" 1 1 1
"z.1346" 2 2 2
"z.1347" 3 3 3
"z.1348" 2 2 2
"z.1349" 2 2 2
"z.1350" 1 1 1
"z.1351" 2 2 2
"z.1352" 2 2 2
"z.1353" 1 1 1
"z.1354" 2 2 2
"z.1355" 2 2 2
"z.1356" 3 3 3
"z.1357" 3 3 3
"z.1358" 2 2 2
"z.1359" 3 3 3
"z.1360" 2 2 2
"z.1361" 3 3 3
"z.1362" 3 3 3
"z.1363" 2 2 2
"z.1364" 2 2 2
"z.1365" 2 2 2
"z.1366" 2 2 2
"z.1367" 3 3 3
"z.1368" 2 2 2
"z.1369" 2 2 2
"z.1370" 2 2 2
"z.1371" 1 1 1
"z.1372" 2 2 2
"z.1373" 2 2 2
"z.1374" 2 2 2
"z.1375" 2 2 2
"z.1376" 3 3 3
"z.1377" 3 3 3
"z.1378" 1 1 1
"z.1379" 2 2 2
"z.1380" 3 3 3
"z.1381" 2 2 2
"z.1382" 2 2 2
"z.1383" 2 2 2
"z.1384" 2 2 2
"z.1385" 2 2 2
"z.1386" 2 2 2
"z.1387" 2 2 2
"z.1388" 2 2 2
"z.1389" 2 2 2
"z.1390" 1 1 1
"z.1391" 1 1 1
"z.1392" 2 2 2
"z.1393" 2 2 2
"z.1394" 1 1 1
"z.1395" 2 2 2
"z.1396" 2 2 2
"z.1397" 2 2 2
"z.1398" 2 2 2
"z.1399" 3 3 3
"z.1400" 3 3 3
"z.1401" 1 1 1
"z.1402" 1 1 1
"z.1403" 3 3 3
"z.1404" 2 2 2
"z.1405" 1 1 1
"z.1406" 2 2 2
"z.1407" 2 2 2
"z.1408" 1 1 1
"z.1409" 2 2 2
"z.1410" 2 2 2
"z.1411" 2 2 2
"z.1412" 2 2 2
"z.1413" 2 2 2
"z.1414" 2 2 2
"z.1415" 2 2 2
"z.1416" 1 1 1
"z.1417" 2 2 2
"z.1418" 2 2 2
"z.1419" 3 3 3
"z.1420" 1 1 1
"z.1421" 2 2 2
"z.1422" 2 2 2
"z.1423" 2 2 2
"z.1424" 3 3 3
"z.1425" 2 2 2
"z.1426" 1 1 1
"z.1427" 2 2 2
"z.1428" 2 2 2
"z.1429" 2 2 2
"z.1430" 1 1 1
"z.1431" 2 2 2
"z.1432" 2 2 2
"z.1433" 2 2 2
"z.1434" 2 2 2
"z.1435" 3 3 3
"z.1436" 3 3 3
"z.1437" 2 2 2
"z.1438" 1 1 1
"z.1439" 2 2 2
"z.1440" 2 2 2
"z.1441" 2 2 2
"z.1442" 2 2 2
"z.1443" 2 2 2
"z.1444" 2 2 2
"z.1445" 2 2 2
"z.1446" 2 2 2
"z.1447" 1 1 1
"z.1448" 2 2 2
"z.1449" 2 2 2
"z.1450" 2 2 2
"z.1451" 3 3 3
"z.1452" 1 1 1
"z.1453" 2 2 2
"z.1454" 3 3 3
"z.1455" 2 2 2
"z.1456" 1 1 1
"z.1457" 3 3 3
"z.1458" 2 2 2
"z.1459" 2 2 2
"z.1460" 3 3 3
"z.1461" 2 2 2
"z.1462" 2 2 2
"z.1463" 2 2 2
"z.1464" 2 2 2
"z.1465" 3 3 3
"z.1466" 2 2 2
"z.1467" 2 2 2
"z.1468" 1 1 1
"z.1469" 3 3 3
"z.1470" 2 2 2
"z.1471" 2 2 2
"z.1472" 3 3 3
"z.1473" 3 3 3
"z.1474" 3 3 3
"z.1475" 2 2 2
"z.1476" 2 2 2
"z.1477" 2 2 2
"z.1478" 2 2 2
"z.1479" 3 3 3
"z.1480" 2 2 2
"z.1481" 2 2 2
"z.1482" 2 2 2
"z.1483" 2 2 2
"z.1484" 2 2 2
"z.1485" 1 1 1
"z.1486" 2 2 2
"z.1487" 2 2 2
"z.1488" 2 2 2
"z.1489" 1 1 1
"z.1490" 1 1 1
"z.1491" 2 2 2
"z.1492" 2 2 2
"z.1493" 1 1 1
"z.1494" 2 2 2
"z.1495" 1 1 1
"z.1496" 2 2 2
"z.1497" 2 2 2
"z.1498" 2 2 2
"z.1499" 2 2 2
"z.1500" 2 2 2
"z.1501" 2 2 2
"z.1502" 2 2 2
"z.1503" 2 2 2
"z.1504" 2 2 2
"z.1505" 1 1 1
"z.1506" 2 2 2
"z.1507" 2 2 2
"z.1508" 1 1 1
"z.1509" 3 3 3
"z.1510" 2 2 2
"z.1511" 2 2 2
"z.1512" 2 2 2
"z.1513" 1 1 1
"z.1514" 2 2 2
"z.1515" 2 2 2
"z.1516" 2 2 2
"z.1517" 2 2 2
"z.1518" 2 2 2
"z.1519" 1 1 1
"z.1520" 2 2 2
"z.1521" 2 2 2
"z.1522" 2 2 2
"z.1523" 1 1 1
"z.1524" 1 1 1
"z.1525" 2 2 2
"z.1526" 2 2 2
"z.1527" 2 2 2
"z.1528" 2 2 2
"z.1529" 3 3 3
"z.1530" 3 3 3
"z.1531" 2 2 2
"z.1532" 2 2 2
"z.1533" 1 1 1
"z.1534" 1 1 1
"z.1535" 1 1 1
"z.1536" 3 3 3
"z.1537" 2 2 2
"z.1538" 3 3 3
"z.1539" 1 1 1
"z.1540" 3 3 3
"z.1541" 2 2 2
"z.1542" 2 2 2
"z.1543" 2 2 2
"z.1544" 2 2 2
"z.1545" 2 2 2
"z.1546" 1 1 1
"z.1547" 2 2 2
"z.1548" 2 2 2
"z.1549" 2 2 2
"z.1550" 2 2 2
"z.1551" 2 2 2
"z.1552" 1 1 1
"z.1553" 2 2 2
"z.1554" 2 2 2
"z.1555" 2 2 2
"z.1556" 2 2 2
"z.1557" 3 3 3
"z.1558" 1 1 1
"z.1559" 1 1 1
"z.1560" 2 2 2
"z.1561" 2 2 2
"z.1562" 2 2 2
"z.1563" 2 2 2
"z.1564" 1 1 1
"z.1565" 2 2 2
"z.1566" 1 1 1
"z.1567" 2 2 2
"z.1568" 3 3 3
"z.1569" 1 1 1
"z.1570" 1 1 1
"z.1571" 3 3 3
"z.1572" 3 3 3
"z.1573" 3 3 3
"z.1574" 1 1 1
"z.1575" 2 2 2
"z.1576" 1 1 1
"z.1577" 2 2 2
"z.1578" 1 1 1
"z.1579" 2 2 2
"z.1580" 2 2 2
"z.1581" 2 2 2
"z.1582" 2 2 2
"z.1583" 2 2 2
"z.1584" 2 2 2
"z.1585" 3 3 3
"z.1586" 2 2 2
"z.1587" 2 2 2
"z.1588" 1 1 1
"z.1589" 3 3 3
"z.1590" 1 1 1
"z.1591" 2 2 2
"z.1592" 2 2 2
"z.1593" 2 2 2
"z.1594" 1 1 1
"z.1595" 2 2 2
"z.1596" 1 1 1
"z.1597" 2 2 2
"z.1598" 3 3 3
"z.1599" 2 2 2
"z.1600" 2 2 2
"z.1601" 2 2 2
"z.1602" 2 2 2
"z.1603" 2 2 2
"z.1604" 3 3 3
"z.1605" 2 2 2
"z.1606" 1 1 1
"z.1607" 3 3 3
"z.1608" 2 2 2
"z.1609" 2 2 2
"z.1610" 3 3 3
"z.1611" 2 2 2
"z.1612" 2 2 2
"z.1613" 1 1 1
"z.1614" 2 2 2
"z.1615" 2 2 2
"z.1616" 2 2 2
"z.1617" 1 1 1
"z.1618" 2 2 2
"z.1619" 3 3 3
"z.1620" 1 1 1
"z.1621" 2 2 2
"z.1622" 2 2 2
"z.1623" 1 1 1
"z.1624" 2 2 2
"z.1625" 2 2 2
"z.1626" 2 2 2
"z.1627" 1 1 1
"z.1628" 2 2 2
"z.1629" 2 2 2
"z.1630" 2 2 2
"z.1631" 2 2 2
"z.1632" 2 2 2
"z.1633" 1 1 1
"z.1634" 2 2 2
"z.1635" 3 3 3
"z.1636" 2 2 2
"z.1637" 3 3 3
"z.1638" 2 2 2
"z.1639" 2 2 2
"z.1640" 2 2 2
"z.1641" 1 1 1
"z.1642" 3 3 3
"z.1643" 1 1 1
"z.1644" 3 3 3
"z.1645" 1 1 1
"z.1646" 2 2 2
"z.1647" 2 2 2
"z.1648" 2 2 2
"z.1649" 3 3 3
"z.1650" 2 2 2
"z.1651" 2 2 2
"z.1652" 2 2 2
"z.1653" 1 1 1
"z.1654" 2 2 2
"z.1655" 1 1 1
"z.1656" 2 2 2
"z.1657" 2 2 2
"z.1658" 1 1 1
"z.1659" 2 2 2
"z.1660" 2 2 2
"z.1661" 3 3 3
"z.1662" 2 2 2
"z.1663" 1 1 1
"z.1664" 2 2 2
"z.1665" 2 2 2
"z.1666" 3 3 3
"z.1667" 2 2 2
"z.1668" 3 3 3
"z.1669" 1 1 1
"z.1670" 2 2 2
"z.1671" 3 3 3
"z.1672" 2 2 2
"z.1673" 2 2 2
"z.1674" 2 2 2
"z.1675" 2 2 2
"z.1676" 2 2 2
"z.1677" 2 2 2
"z.1678" 1 1 1
"z.1679" 3 3 3
"z.1680" 1 1 1
"z.1681" 1 1 1
"z.1682" 1 1 1
"z.1683" 2 2 2
"z.1684" 1 1 1
"z.1685" 2 2 2
"z.1686" 2 2 2
"z.1687" 1 1 1
"z.1688" 2 2 2
"z.1689" 2 2 2
"z.1690" 2 2 2
"z.1691" 2 2 2
"z.1692" 2 2 2
"z.1693" 2 2 2
"z.1694" 3 3 3
"z.1695" 2 2 2
"z.1696" 2 2 2
"z.1697" 2 2 2
"z.1698" 2 2 2
"z.1699" 2 2 2
"z.1700" 3 3 3
"z.1701" 1 1 1
"z.1702" 3 3 3
"z.1703" 2 2 2
"z.1704" 2 2 2
"z.1705" 2 2 2
"z.1706" 3 3 3
"z.1707" 3 3 3
"z.1708" 2 2 2
"z.1709" 2 2 2
"z.1710" 2 2 2
"z.1711" 2 2 2
"z.1712" 2 2 2
"z.1713" 3 3 3
"z.1714" 2 2 2
"z.1715" 3 3 3
"z.1716" 2 2 2
"z.1717" 2 2 2
"z.1718" 2 2 2
"z.1719" 1 1 1
"z.1720" 2 2 2
"z.1721" 3 3 3
"z.1722" 3 3 3
"z.1723" 3 3 3
"z.1724" 2 2 2
"z.1725" 1 1 1
"z.1726" 3 3 3
"z.1727" 2 2 2
"z.1728" 2 2 2
"z.1729" 2 2 2
"z.1730" 1 1 1
"z.1731" 3 3 3
"z.1732" 2 2 2
"z.1733" 2 2 2
"z.1734" 1 1 1
"z.1735" 2 2 2
"z.1736" 2 2 2
"z.1737" 3 3 3
"z.1738" 1 1 1
"z.1739" 3 3 3
"z.1740" 2 2 2
"z.1741" 2 2 2
"z.1742" 2 2 2
"z.1743" 2 2 2
"z.1744" 2 2 2
"z.1745" 2 2 2
"z.1746" 2 2 2
"z.1747" 3 3 3
"z.1748" 2 2 2
"z.1749" 3 3 3
"z.1750" 2 2 2
"z.1751" 2 2 2
"z.1752" 1 1 1
"z.1753" 2 2 2
"z.1754" 2 2 2
"z.1755" 2 2 2
"z.1756" 2 2 2
"z.1757" 2 2 2
"z.1758" 2 2 2
"z.1759" 1 1 1
"z.1760" 1 1 1
"z.1761" 2 2 2
"z.1762" 1 1 1
"z.1763" 3 3 3
"z.1764" 1 1 1
"z.1765" 2 2 2
"z.1766" 2 2 2
"z.1767" 1 1 1
"z.1768" 2 2 2
"z.1769" 1 1 1
"z.1770" 2 2 2
"z.1771" 2 2 2
"z.1772" 2 2 2
"z.1773" 2 2 2
"z.1774" 2 2 2
"z.1775" 2 2 2
"z.1776" 2 2 2
"z.1777" 2 2 2
"z.1778" 2 2 2
"z.1779" 2 2 2
"z.1780" 2 2 2
"z.1781" 2 2 2
"z.1782" 2 2 2
"z.1783" 2 2 2
"z.1784" 2 2 2
"z.1785" 1 1 1
"z.1786" 2 2 2
"z.1787" 2 2 2
"z.1788" 2 2 2
"z.1789" 3 3 3
"z.1790" 2 2 2
"z.1791" 2 2 2
"z.1792" 2 2 2
"z.1793" 2 2 2
"z.1794" 2 2 2
"z.1795" 2 2 2
"z.1796" 1 1 1
"z.1797" 3 3 3
"z.1798" 1 1 1
"z.1799" 1 1 1
"z.1800" 2 2 2
"z.1801" 3 3 3
"z.1802" 2 2 2
"z.1803" 3 3 3
"z.1804" 3 3 3
"z.1805" 2 2 2
"z.1806" 2 2 2
"z.1807" 2 2 2
"z.1808" 2 2 2
"z.1809" 2 2 2
"z.1810" 1 1 1
"z.1811" 2 2 2
"z.1812" 2 2 2
"z.1813" 2 2 2
"z.1814" 3 3 3
"z.1815" 2 2 2
"z.1816" 2 2 2
"z.1817" 2 2 2
"z.1818" 2 2 2
"z.1819" 2 2 2
"z.1820" 2 2 2
"z.1821" 1 1 1
"z.1822" 2 2 2
"z.1823" 2 2 2
"z.1824" 2 2 2
"z.1825" 2 2 2
"z.1826" 1 1 1
"z.1827" 2 2 2
"z.1828" 1 1 1
"z.1829" 2 2 2
"z.1830" 2 2 2
"z.1831" 2 2 2
"z.1832" 2 2 2
"z.1833" 2 2 2
"z.1834" 2 2 2
"z.1835" 1 1 1
"z.1836" 3 3 3
"z.1837" 3 3 3
"z.1838" 2 2 2
"z.1839" 2 2 2
"z.1840" 2 2 2
"z.1841" 1 1 1
"z.1842" 3 3 3
"z.1843" 1 1 1
"z.1844" 1 1 1
"z.1845" 2 2 2
"z.1846" 2 2 2
"z.1847" 2 2 2
"z.1848" 3 3 3
"z.1849" 2 2 2
"z.1850" 1 1 1
"z.1851" 2 2 2
"z.1852" 2 2 2
"z.1853" 3 3 3
"z.1854" 2 2 2
"z.1855" 2 2 2
"z.1856" 2 2 2
"z.1857" 1 1 1
"z.1858" 3 3 3
"z.1859" 3 3 3
"z.1860" 2 2 2
"z.1861" 2 2 2
"z.1862" 2 2 2
"z.1863" 2 2 2
"z.1864" 1 1 1
"z.1865" 1 1 1
"z.1866" 2 2 2
"z.1867" 1 1 1
"z.1868" 2 2 2
"z.1869" 3 3 3
"z.1870" 3 3 3
"z.1871" 2 2 2
"z.1872" 2 2 2
"z.1873" 3 3 3
"z.1874" 2 2 2
"z.1875" 3 3 3
"z.1876" 3 3 3
"z.1877" 2 2 2
"z.1878" 3 3 3
"z.1879" 3 3 3
"z.1880" 3 3 3
"z.1881" 3 3 3
"z.1882" 3 3 3
"z.1883" 2 2 2
"z.1884" 1 1 1
"z.1885" 3 3 3
"z.1886" 2 2 2
"z.1887" 2 2 2
"z.1888" 2 2 2
"z.1889" 3 3 3
"z.1890" 3 3 3
"z.1891" 1 1 1
"z.1892" 2 2 2
"z.1893" 3 3 3
"z.1894" 2 2 2
"z.1895" 2 2 2
"z.1896" 2 2 2
"z.1897" 2 2 2
"z.1898" 1 1 1
"z.1899" 2 2 2
"z.1900" 2 2 2
"z.1901" 2 2 2
"z.1902" 2 2 2
"z.1903" 2 2 2
"z.1904" 2 2 2
"z.1905" 2 2 2
"z.1906" 2 2 2
"z.1907" 2 2 2
"z.1908" 3 3 3
"z.1909" 2 2 2
"z.1910" 2 2 2
"z.1911" 1 1 1
"z.1912" 2 2 2
"z.1913" 2 2 2
"z.1914" 2 2 2
"z.1915" 3 3 3
"z.1916" 1 1 1
"z.1917" 3 3 3
"z.1918" 2 2 2
"z.1919" 2 2 2
"z.1920" 3 3 3
"z.1921" 2 2 2
"z.1922" 3 3 3
"z.1923" 1 1 1
"z.1924" 3 3 3
"z.1925" 2 2 2
"z.1926" 2 2 2
"z.1927" 1 1 1
"z.1928" 3 3 3
"z.1929" 2 2 2
"z.1930" 1 1 1
"z.1931" 2 2 2
"z.1932" 3 3 3
"z.1933" 1 1 1
"z.1934" 2 2 2
"z.1935" 3 3 3
"z.1936" 1 1 1
"z.1937" 3 3 3
"z.1938" 2 2 2
"z.1939" 1 1 1
"z.1940" 2 2 2
"z.1941" 2 2 2
"z.1942" 2 2 2
"z.1943" 2 2 2
"z.1944" 1 1 1
"z.1945" 3 3 3
"z.1946" 2 2 2
"z.1947" 2 2 2
"z.1948" 1 1 1
"z.1949" 3 3 3
"z.1950" 2 2 2
"z.1951" 2 2 2
"z.1952" 2 2 2
"z.1953" 3 3 3
"z.1954" 2 2 2
"z.1955" 2 2 2
"z.1956" 2 2 2
"z.1957" 1 1 1
"z.1958" 1 1 1
"z.1959" 2 2 2
"z.1960" 1 1 1
"z.1961" 2 2 2
"z.1962" 1 1 1
"z.1963" 1 1 1
"z.1964" 3 3 3
"z.1965" 2 2 2
"z.1966" 2 2 2
"z.1967" 2 2 2
"z.1968" 1 1 1
"z.1969" 3 3 3
"z.1970" 3 3 3
"z.1971" 2 2 2
"z.1972" 3 3 3
"z.1973" 2 2 2
"z.1974" 2 2 2
"z.1975" 2 2 2
"z.1976" 1 1 1
"z.1977" 2 2 2
"z.1978" 2 2 2
"z.1979" 2 2 2
"z.1980" 2 2 2
"z.1981" 3 3 3
"z.1982" 1 1 1
"z.1983" 2 2 2
"z.1984" 2 2 2
"z.1985" 3 3 3
"z.1986" 2 2 2
"z.1987" 2 2 2
"z.1988" 2 2 2
"z.1989" 2 2 2
"z.1990" 3 3 3
"z.1991" 2 2 2
"z.1992" 2 2 2
"z.1993" 2 2 2
"z.1994" 2 2 2
"z.1995" 2 2 2
"z.1996" 2 2 2
"z.1997" 2 2 2
"z.1998" 2 2 2
"z.1999" 2 2 2
"z.2000" 2 2 2
"z.2001" 1 1 1
"z.2002" 2 2 2
"z.2003" 2 2 2
"z.2004" 2 2 2
"z.2005" 2 2 2
"z.2006" 3 3 3
"z.2007" 2 2 2
"z.2008" 2 2 2
"z.2009" 2 2 2
"z.2010" 3 3 3
"z.2011" 2 2 2
"z.2012" 2 2 2
"z.2013" 2 2 2
"z.2014" 2 2 2
"z.2015" 2 2 2
"z.2016" 2 2 2
"z.2017" 2 2 2
"z.2018" 3 3 3
"z.2019" 3 3 3
"z.2020" 3 3 3
"z.2021" 3 3 3
"z.2022" 2 2 2
"z.2023" 2 2 2
"z.2024" 2 2 2
"z.2025" 1 1 1
"z.2026" 2 2 2
"z.2027" 1 1 1
"z.2028" 3 3 3
"z.2029" 2 2 2
"z.2030" 1 1 1
"z.2031" 2 2 2
"z.2032" 2 2 2
"z.2033" 2 2 2
"z.2034" 2 2 2
"z.2035" 1 1 1
"z.2036" 2 2 2
"z.2037" 2 2 2
"z.2038" 1 1 1
"z.2039" 2 2 2
"z.2040" 2 2 2
"z.2041" 2 2 2
"z.2042" 2 2 2
"z.2043" 2 2 2
"z.2044" 1 1 1
"z.2045" 2 2 2
"z.2046" 2 2 2
"z.2047" 3 3 3
"z.2048" 1 1 1
"z.2049" 2 2 2
"z.2050" 2 2 2
"z.2051" 2 2 2
"z.2052" 2 2 2
"z.2053" 1 1 1
"z.2054" 2 2 2
"z.2055" 2 2 2
"z.2056" 2 2 2
"z.2057" 2 2 2
"z.2058" 3 3 3
"z.2059" 2 2 2
"z.2060" 3 3 3
"z.2061" 2 2 2
"z.2062" 1 1 1
"z.2063" 2 2 2
"z.2064" 2 2 2
"z.2065" 1 1 1
"z.2066" 2 2 2
"z.2067" 3 3 3
"z.2068" 1 1 1
"z.2069" 3 3 3
"z.2070" 2 2 2
"z.2071" 1 1 1
"z.2072" 2 2 2
"z.2073" 1 1 1
"z.2074" 1 1 1
"z.2075" 2 2 2
"z.2076" 3 3 3
"z.2077" 2 2 2
"z.2078" 3 3 3
"z.2079" 2 2 2
"z.2080" 2 2 2
"z.2081" 1 1 1
"z.2082" 2 2 2
"z.2083" 2 2 2
"z.2084" 2 2 2
"z.2085" 2 2 2
"z.2086" 2 2 2
"z.2087" 2 2 2
"z.2088" 2 2 2
"z.2089" 2 2 2
"z.2090" 2 2 2
"z.2091" 3 3 3
"z.2092" 2 2 2
"z.2093" 1 1 1
"z.2094" 2 2 2
"z.2095" 2 2 2
"z.2096" 1 1 1
"z.2097" 3 3 3
"z.2098" 2 2 2
"z.2099" 2 2 2
"z.2100" 2 2 2
"z.2101" 2 2 2
"z.2102" 2 2 2
"z.2103" 1 1 1
"z.2104" 2 2 2
"z.2105" 1 1 1
"z.2106" 2 2 2
"z.2107" 3 3 3
"z.2108" 2 2 2
"z.2109" 3 3 3
"z.2110" 2 2 2
"z.2111" 3 3 3
"z.2112" 2 2 2
"z.2113" 2 2 2
"z.2114" 2 2 2
"z.2115" 2 2 2
"z.2116" 2 2 2
"z.2117" 2 2 2
"z.2118" 2 2 2
"z.2119" 2 2 2
"z.2120" 2 2 2
"z.2121" 2 2 2
"z.2122" 1 1 1
"z.2123" 2 2 2
"z.2124" 1 1 1
"z.2125" 2 2 2
"z.2126" 2 2 2
"z.2127" 3 3 3
"z.2128" 1 1 1
"z.2129" 2 2 2
"z.2130" 1 1 1
"z.2131" 2 2 2
"z.2132" 3 3 3
"z.2133" 2 2 2
"z.2134" 2 2 2
"z.2135" 1 1 1
"z.2136" 2 2 2
"z.2137" 1 1 1
"z.2138" 2 2 2
"z.2139" 3 3 3
"z.2140" 3 3 3
"z.2141" 3 3 3
"z.2142" 2 2 2
"z.2143" 2 2 2
"z.2144" 2 2 2
"z.2145" 1 1 1
"z.2146" 2 2 2
"z.2147" 2 2 2
"z.2148" 2 2 2
"z.2149" 2 2 2
"z.2150" 3 3 3
"z.2151" 2 2 2
"z.2152" 1 1 1
"z.2153" 2 2 2
"z.2154" 1 1 1
"z.2155" 3 3 3
"z.2156" 2 2 2
"z.2157" 3 3 3
"z.2158" 2 2 2
"z.2159" 2 2 2
"z.2160" 3 3 3
"z.2161" 3 3 3
"z.2162" 1 1 1
"z.2163" 1 1 1
"z.2164" 2 2 2
"z.2165" 2 2 2
"z.2166" 2 2 2
"z.2167" 3 3 3
"z.2168" 2 2 2
"z.2169" 2 2 2
"z.2170" 2 2 2
"z.2171" 2 2 2
"z.2172" 2 2 2
"z.2173" 1 1 1
"z.2174" 2 2 2
"z.2175" 1 1 1
"z.2176" 1 1 1
"z.2177" 2 2 2
"z.2178" 1 1 1
"z.2179" 2 2 2
"z.2180" 2 2 2
"z.2181" 1 1 1
"z.2182" 3 3 3
"z.2183" 2 2 2
"z.2184" 2 2 2
"z.2185" 3 3 3
"z.2186" 1 1 1
"z.2187" 2 2 2
"z.2188" 2 2 2
"z.2189" 2 2 2
"z.2190" 2 2 2
"z.2191" 2 2 2
"z.2192" 2 2 2
"z.2193" 2 2 2
"z.2194" 2 2 2
"z.2195" 2 2 2
"z.2196" 1 1 1
"z.2197" 3 3 3
"z.2198" 3 3 3
"z.2199" 3 3 3
"z.2200" 2 2 2
"z.2201" 1 1 1
"z.2202" 3 3 3
"z.2203" 2 2 2
"z.2204" 1 1 1
"z.2205" 2 2 2
"z.2206" 2 2 2
"z.2207" 3 3 3
"z.2208" 1 1 1
"z.2209" 1 1 1
"z.2210" 3 3 3
"z.2211" 1 1 1
"z.2212" 2 2 2
"z.2213" 2 2 2
"z.2214" 2 2 2
"z.2215" 3 3 3
"z.2216" 2 2 2
"z.2217" 2 2 2
"z.2218" 3 3 3
"z.2219" 1 1 1
"z.2220" 2 2 2
"z.2221" 2 2 2
"z.2222" 1 1 1
"z.2223" 3 3 3
